DS,Y
2024-03-10T00:39:06.713523,4
2024-03-10T00:54:24.495307,4
2024-03-10T01:09:42.554161,4
2024-03-10T01:25:00.238814,2
2024-03-10T01:40:17.809518,2
2024-03-10T01:55:37.378939,2
2024-03-10T02:10:55.084401,2
2024-03-10T02:26:13.156564,2
2024-03-10T02:41:30.932631,2
2024-03-10T02:56:49.341799,2
2024-03-10T03:12:07.258145,2
2024-03-10T03:27:24.829199,2
2024-03-10T03:42:43.061265,2
2024-03-10T03:58:00.908667,2
2024-03-10T04:13:18.961837,2
2024-03-10T04:28:38.837113,3
2024-03-10T04:43:56.167093,3
2024-03-10T04:59:14.545273,4
2024-03-10T05:14:32.452128,4
2024-03-10T05:29:50.845571,4
2024-03-10T05:45:08.320282,4
2024-03-10T06:00:27.254353,4
2024-03-10T06:15:46.339256,6
2024-03-10T06:31:05.235742,7
2024-03-10T06:46:24.359501,6
2024-03-10T07:01:43.995884,6
2024-03-10T07:17:03.439956,7
2024-03-10T07:32:22.953881,10
2024-03-10T07:47:43.413575,12
2024-03-10T08:03:02.409781,14
2024-03-10T08:18:21.171445,17
2024-03-10T08:33:43.070097,19
2024-03-10T08:49:02.116918,21
2024-03-10T09:04:20.435378,25
2024-03-10T09:19:41.095637,29
2024-03-10T09:35:00.50662,30
2024-03-10T09:50:20.577409,32
2024-03-10T10:05:43.053168,31
2024-03-10T10:21:02.02386,33
2024-03-10T10:36:21.564281,33
2024-03-10T10:51:40.950992,31
2024-03-10T11:06:58.590185,31
2024-03-10T11:22:16.988416,28
2024-03-10T11:37:35.498893,25
2024-03-10T11:52:54.021259,25
2024-03-10T12:08:12.011823,25
2024-03-10T12:23:30.701636,25
2024-03-10T12:38:48.826833,24
2024-03-10T12:54:07.763651,25
2024-03-10T13:09:26.626934,22
2024-03-10T13:24:45.276782,20
2024-03-10T13:40:04.154867,20
2024-03-10T13:55:21.643387,18
2024-03-10T14:10:47.022905,15
2024-03-10T14:26:05.227353,15
2024-03-10T14:41:23.058754,13
2024-03-10T14:56:45.35737,10
2024-03-10T15:12:03.385914,10
